,Datum,UMS_BRUTTO
0,2021-01-01,89.39999999999999
1,2021-01-02,283.4
2,2021-01-03,319.2
3,2021-01-04,144.1
4,2021-01-05,0.0
5,2021-01-06,153.0
6,2021-01-07,0.0
7,2021-01-08,273.1
8,2021-01-09,247.5
9,2021-01-10,186.0
10,2021-01-11,553.9
11,2021-01-12,124.39999999999999
12,2021-01-13,0.0
13,2021-01-14,142.20000000000002
14,2021-01-15,289.5
15,2021-01-16,780.3
16,2021-01-17,141.2
17,2021-01-18,85.5
18,2021-01-19,386.7
19,2021-01-20,802.1
20,2021-01-21,0.0
21,2021-01-22,357.8
22,2021-01-23,134.1
23,2021-01-24,0.0
24,2021-01-25,178.09999999999997
25,2021-01-26,18.9
26,2021-01-27,0.0
27,2021-01-28,0.0
28,2021-01-29,252.6
29,2021-01-30,178.1
30,2021-01-31,54.699999999999996
31,2021-02-01,22.9
32,2021-02-02,96.5
33,2021-02-03,148.1
34,2021-02-04,0.0
35,2021-02-05,19.8
36,2021-02-06,251.39999999999998
37,2021-02-07,8.0
38,2021-02-08,0.0
39,2021-02-09,26.9
40,2021-02-10,550.9
41,2021-02-11,101.6
42,2021-02-12,101.39999999999999
43,2021-02-13,243.6
44,2021-02-14,400.5
45,2021-02-15,31.8
46,2021-02-16,291.7
47,2021-02-17,0.0
48,2021-02-18,246.49999999999997
49,2021-02-19,93.4
50,2021-02-20,166.1
51,2021-02-21,532.4
52,2021-02-22,78.7
53,2021-02-23,130.5
54,2021-02-24,30.799999999999997
55,2021-02-25,42.8
56,2021-02-26,41.8
57,2021-02-27,185.79999999999998
58,2021-02-28,100.5
59,2021-03-01,7.9
60,2021-03-02,41.7
61,2021-03-03,170.89999999999998
62,2021-03-04,343.0
63,2021-03-05,97.4
64,2021-03-06,0.0
65,2021-03-07,221.5
66,2021-03-08,171.0
67,2021-03-09,0.0
68,2021-03-10,103.4
69,2021-03-11,328.9
70,2021-03-12,26.9
71,2021-03-13,99.39999999999999
72,2021-03-14,450.3
73,2021-03-15,273.69999999999993
74,2021-03-16,0.0
75,2021-03-17,186.9
76,2021-03-18,51.699999999999996
77,2021-03-19,117.19999999999999
78,2021-03-20,260.7
79,2021-03-21,133.2
80,2021-03-22,229.7
81,2021-03-23,50.6
82,2021-03-24,191.7
83,2021-03-25,104.5
84,2021-03-26,101.5
85,2021-03-27,471.3
86,2021-03-28,0.0
87,2021-03-29,225.7
88,2021-03-30,404.6
89,2021-03-31,66.5
90,2021-04-01,0.0
91,2021-04-02,18.9
92,2021-04-03,353.2
93,2021-04-04,299.2
94,2021-04-05,249.59999999999997
95,2021-04-06,339.0
96,2021-04-07,0.0
97,2021-04-08,26.9
98,2021-04-09,0.0
99,2021-04-10,360.9
100,2021-04-11,137.20000000000002
101,2021-04-12,277.5
102,2021-04-13,30.9
